step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,avg_vae_recon_20ep,avg_vae_kl_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,current_ep_vae_recon,current_ep_vae_kl,replay_size
45000,0.95725,22,0.0,0.14489295632768145,0.14489295632768145,0.000521681558166165,0.0005167362294741906,0.004945335676893592,0.0,0.0007206922937479654,0.0007206922937479654,0.00048438910744152963,0.0004816796281374991,0.0027094671968370676,45000
46000,0.9563,22,0.0,0.14489295632768145,0.14489295632768145,0.000521681558166165,0.0005167362294741906,0.004945335676893592,0.0,0.051424174784592165,0.051424174784592165,0.0004584704583976418,0.00045583301107399166,0.002637437079101801,46000
47000,0.95535,22,0.0,0.14489295632768145,0.14489295632768145,0.000521681558166165,0.0005167362294741906,0.004945335676893592,0.0,0.10214719356651056,0.10214719356651056,0.0005526827881112695,0.0005501788109540939,0.0025039557367563248,47000
48000,0.9544,23,0.0,0.139416976454961,0.139416976454961,0.0005202488348004409,0.0005155492239282466,0.004699619056191295,0.0,0.04721129136725977,0.04721129136725977,0.0004925302346237004,0.0004899536143057048,0.0025766268372535706,48000
49000,0.95345,23,0.0,0.139416976454961,0.139416976454961,0.0005202488348004409,0.0005155492239282466,0.004699619056191295,0.0,0.09476923873346482,0.09476923873346482,0.000539330008905381,0.0005368481506593525,0.0024818498641252518,49000
50000,0.9525,24,0.0,0.1345676973366255,0.1345676973366255,0.0005176866034162231,0.0005132107718964108,0.004475839133374393,0.0,0.044896729426498014,0.044896729426498014,0.0004694563976954669,0.00046700038365088403,0.0024559996090829372,50000
51000,0.95155,24,0.0,0.1345676973366255,0.1345676973366255,0.0005176866034162231,0.0005132107718964108,0.004475839133374393,0.0,0.09327574871246472,0.09327574871246472,0.0005392576567828655,0.0005370148574002087,0.002242787042632699,50000
52000,0.9506,25,0.0,0.1300176167357094,0.1300176167357094,0.0005200236642849632,0.0005157655439688824,0.00425812640460208,0.0,0.04177244060115827,0.04177244060115827,0.0004321660380810499,0.0004297946288716048,0.002371407113969326,50000
53000,0.94965,25,0.0,0.1300176167357094,0.1300176167357094,0.0005200236642849632,0.0005157655439688824,0.00425812640460208,0.0,0.08997113658290329,0.08997113658290329,0.00046181390644051135,0.00045946991303935647,0.0023439915385097265,50000
54000,0.9487,26,0.0,0.1258873969957973,0.1258873969957973,0.0005217291589360684,0.0005176980179385282,0.004031148157082498,0.0,0.03992744364348977,0.03992744364348977,0.00047782587353140116,0.00047556194476783276,0.00226393761113286,50000
55000,0.94775,26,0.0,0.1258873969957973,0.1258873969957973,0.0005217291589360684,0.0005176980179385282,0.004031148157082498,0.0,0.08602928597784604,0.08602928597784604,0.0004838586028199643,0.00048159045400097966,0.0022681576665490866,50000
56000,0.9468,27,0.0,0.12203655353492404,0.12203655353492404,0.0005198948725592345,0.0005160761400475166,0.003818738996051252,0.0,0.0363588428026825,0.0363588428026825,0.0005195701378397644,0.0005174105754122138,0.0021595805883407593,50000
57000,0.94585,27,0.0,0.12203655353492404,0.12203655353492404,0.0005198948725592345,0.0005160761400475166,0.003818738996051252,0.0,0.08146542444776665,0.08146542444776665,0.0004902342916466296,0.00048803945537656546,0.002194809727370739,50000
58000,0.9449,28,0.0,0.11835115195207087,0.11835115195207087,0.0005179073166800662,0.0005142681635334157,0.0036391585716046395,0.0,0.03267381939776709,0.03267381939776709,0.0005032996996305883,0.0005011946195736527,0.002105091232806444,50000
59000,0.94395,28,0.0,0.11835115195207087,0.11835115195207087,0.0005179073166800662,0.0005142681635334157,0.0036391585716046395,0.0,0.07780457502182077,0.07780457502182077,0.000498285808134824,0.0004962264210917056,0.002059375401586294,50000
60000,0.9430000000000001,29,0.0,0.11518943067436822,0.11518943067436822,0.0005213746000663378,0.0005179431609576568,0.0034314438700675963,0.0,0.030462833427630887,0.030462833427630887,0.00045172637328505516,0.00044970415183342993,0.002022217959165573,50000
61000,0.94205,29,0.0,0.11518943067436822,0.11518943067436822,0.0005213746000663378,0.0005179431609576568,0.0034314438700675963,0.0,0.07558393624061409,0.07558393624061409,0.0004637210804503411,0.0004616633232217282,0.002057765144854784,50000
62000,0.9411,30,0.0,0.11199210453042736,0.11199210453042736,0.0005188971306779421,0.000515634220209904,0.003262914717197418,0.0,0.029005743927784183,0.029005743927784183,0.00048783671809360385,0.00048585463082417846,0.0019820837769657373,50000
63000,0.94015,30,0.0,0.11199210453042736,0.11199210453042736,0.0005188971306779421,0.000515634220209904,0.003262914717197418,0.0,0.07143522965008167,0.07143522965008167,0.00044324668124318123,0.00044128819718025625,0.0019584784749895334,50000
64000,0.9392,31,0.0,0.10907848777988591,0.10907848777988591,0.0005178641076781787,0.0005147879390278831,0.0030761715082917363,0.0,0.0269531089673514,0.0269531089673514,0.0004378994053695351,0.00043598352931439877,0.0019158705836161971,50000
65000,0.93825,31,0.0,0.10907848777988591,0.10907848777988591,0.0005178641076781787,0.0005147879390278831,0.0030761715082917363,0.0,0.0696862850345459,0.0696862850345459,0.0004364681662991643,0.00043462347821332514,0.00184469239320606,50000
66000,0.9373,32,0.0,0.10645203080054966,0.10645203080054966,0.0005173043100512587,0.0005143965594470501,0.002907751750899479,0.0,0.025324093421045468,0.025324093421045468,0.0004837232700083405,0.00048188038635998964,0.0018428913317620754,50000
67000,0.93635,32,0.0,0.10645203080054966,0.10645203080054966,0.0005173043100512587,0.0005143965594470501,0.002907751750899479,0.0,0.06932507550501998,0.06932507550501998,0.0004896062891930342,0.00048773176968097687,0.0018745147390291095,50000
68000,0.9354,33,0.0,0.10410779310804334,0.10410779310804334,0.0005182233071536757,0.000515462426119484,0.002760880719870329,0.0,0.02166782626249773,0.02166782626249773,0.0004270374483894557,0.0004251830105204135,0.0018544337945058942,50000
69000,0.93445,33,0.0,0.10410779310804334,0.10410779310804334,0.0005182233071536757,0.000515462426119484,0.002760880719870329,0.0,0.06546993401786887,0.06546993401786887,0.00044639414409175515,0.00044458862976171076,0.0018055062973871827,50000
70000,0.9335,34,0.0,0.10208985897125353,0.10208985897125353,0.0005169253723579459,0.0005142944632098079,0.00263090951484628,0.0,0.019348223318652828,0.019348223318652828,0.00041768807568587363,0.00041595203219912946,0.001736035686917603,50000
71000,0.93255,34,0.0,0.10208985897125353,0.10208985897125353,0.0005169253723579459,0.0005142944632098079,0.00263090951484628,0.0,0.06166174108410041,0.06166174108410041,0.0004799067392013967,0.00047816408914513886,0.0017426611157134175,50000
72000,0.9316,35,0.0,0.10011649754368149,0.10011649754368149,0.0005132856982527301,0.0005107769029564224,0.002508794912137091,0.0,0.01691349025086052,0.01691349025086052,0.000464078999357298,0.0004623815475497395,0.0016974392347037792,50000
73000,0.93065,35,0.0,0.10011649754368149,0.10011649754368149,0.0005132856982527301,0.0005107769029564224,0.002508794912137091,0.0,0.05758256065627947,0.05758256065627947,0.00043610724969767034,0.000434417073847726,0.0016901794588193297,50000
74000,0.9297,36,0.0,0.09823566361717848,0.09823566361717848,0.0005096407214296051,0.00050724236498354,0.0023983573424629866,0.0,0.016415971835977674,0.016415971835977674,0.0005161916487850249,0.0005144622991792858,0.0017293670680373907,50000
75000,0.92875,36,0.0,0.09823566361717848,0.09823566361717848,0.0005096407214296051,0.00050724236498354,0.0023983573424629866,0.0,0.05903962629650053,0.05903962629650053,0.0004687069449573755,0.00046707168803550303,0.0016352471429854631,50000
76000,0.9278,37,0.0,0.09671183199227582,0.09671183199227582,0.0005111757302074694,0.0005088748657726683,0.00230086634401232,0.0,0.013471544713585087,0.013471544713585087,0.00043019247823394835,0.0004285239556338638,0.0016685116570442915,50000
77000,0.92685,37,0.0,0.09671183199227582,0.09671183199227582,0.0005111757302074694,0.0005088748657726683,0.00230086634401232,0.0,0.05365487603462365,0.05365487603462365,0.00045194465201348066,0.0004503861418925226,0.0015585150104016066,50000
78000,0.9259,38,0.0,0.09526452964984267,0.09526452964984267,0.0005123350783833303,0.0005101238304632716,0.0022112500970251857,0.0,0.01166331370605316,0.01166331370605316,0.0004801592440344393,0.00047856566379778087,0.0015935695264488459,50000
79000,0.92495,38,0.0,0.09526452964984267,0.09526452964984267,0.0005123350783833303,0.0005101238304632716,0.0022112500970251857,0.0,0.05424986176473083,0.05424986176473083,0.00047102320240810513,0.00046941867913119495,0.0016045172233134508,50000
80000,0.924,39,0.0,0.09385366576564139,0.09385366576564139,0.0005092540741316043,0.0005071264095022343,0.002127666986780241,0.0,0.009645665983643676,0.009645665983643676,0.00048247442464344203,0.00048097988474182785,0.0014945542206987739,50000
81000,0.92305,39,0.0,0.09385366576564139,0.09385366576564139,0.0005092540741316043,0.0005071264095022343,0.002127666986780241,0.0,0.04946868709447702,0.04946868709447702,0.0004667406901717186,0.0004651729541365057,0.0015677474439144135,50000
